Sexo;Edad;Funciones;Periodo;Total
Ambos sexos;1 año;Riesgo de muerte;1976;1,174956
Ambos sexos;1 año;Riesgo de muerte;1975;1,233732
Ambos sexos;1 año;Supervivientes;1990;99.236,935245
Ambos sexos;1 año;Supervivientes;1989;99.225,266268
Ambos sexos;1 año;Supervivientes;1988;99.200,796107
Ambos sexos;1 año;Supervivientes;1987;99.124,966984
Ambos sexos;1 año;Supervivientes;1986;99.099,38882
Ambos sexos;1 año;Supervivientes;1985;99.124,058655
Ambos sexos;1 año;Supervivientes;1984;99.028,70056
Ambos sexos;1 año;Supervivientes;1983;98.946,136897
Ambos sexos;1 año;Supervivientes;1982;98.915,695801
Ambos sexos;1 año;Supervivientes;1981;98.827,837011
Ambos sexos;1 año;Supervivientes;1980;98.801,539056
Ambos sexos;1 año;Supervivientes;1979;98.608,064881
Ambos sexos;1 año;Supervivientes;1978;98.491,99108
Ambos sexos;1 año;Supervivientes;1977;98.418,068764
Ambos sexos;1 año;Supervivientes;1976;98.279,10639
Ambos sexos;1 año;Supervivientes;1975;98.145,348178
Ambos sexos;1 año;Defunciones teóricas;1990;72,589655
Ambos sexos;1 año;Defunciones teóricas;1989;63,489943
Ambos sexos;1 año;Defunciones teóricas;1988;72,312077
Ambos sexos;1 año;Defunciones teóricas;1987;63,563366
Ambos sexos;1 año;Defunciones teóricas;1986;78,678249
Ambos sexos;1 año;Defunciones teóricas;1985;78,599667
Ambos sexos;1 año;Defunciones teóricas;1984;81,017462
Ambos sexos;1 año;Defunciones teóricas;1983;91,127428
Ambos sexos;1 año;Defunciones teóricas;1982;86,012435
Ambos sexos;1 año;Defunciones teóricas;1981;94,957338
Ambos sexos;1 año;Defunciones teóricas;1980;103,853358
Ambos sexos;1 año;Defunciones teóricas;1979;108,779004
Ambos sexos;1 año;Defunciones teóricas;1978;121,859018
Ambos sexos;1 año;Defunciones teóricas;1977;115,905083
Ambos sexos;1 año;Defunciones teóricas;1976;115,47358
Ambos sexos;1 año;Defunciones teóricas;1975;121,085061
Ambos sexos;1 año;Población estacionaria;1990;99.199,282564
Ambos sexos;1 año;Población estacionaria;1989;99.189,811902
Ambos sexos;1 año;Población estacionaria;1988;99.160,638716
Ambos sexos;1 año;Población estacionaria;1987;99.087,794796
Ambos sexos;1 año;Población estacionaria;1986;99.053,761636
Ambos sexos;1 año;Población estacionaria;1985;99.080,212373
Ambos sexos;1 año;Población estacionaria;1984;98.985,170767
Ambos sexos;1 año;Población estacionaria;1983;98.896,742781
Ambos sexos;1 año;Población estacionaria;1982;98.870,594912
Ambos sexos;1 año;Población estacionaria;1981;98.776,182517
Ambos sexos;1 año;Población estacionaria;1980;98.741,77511
Ambos sexos;1 año;Población estacionaria;1979;98.549,233871
Ambos sexos;1 año;Población estacionaria;1978;98.424,387053
Ambos sexos;1 año;Población estacionaria;1977;98.353,346821
Ambos sexos;1 año;Población estacionaria;1976;98.212,099078
Ambos sexos;1 año;Población estacionaria;1975;98.076,943735
Ambos sexos;1 año;Tiempo por vivir;1990;7.591.213,7355
Ambos sexos;1 año;Tiempo por vivir;1989;7.590.951,7325
Ambos sexos;1 año;Tiempo por vivir;1988;7.586.624,5816
Ambos sexos;1 año;Tiempo por vivir;1987;7.585.254,1039
Ambos sexos;1 año;Tiempo por vivir;1986;7.562.123,4639
Ambos sexos;1 año;Tiempo por vivir;1985;7.534.781,7678
Ambos sexos;1 año;Tiempo por vivir;1984;7.539.427,4006
Ambos sexos;1 año;Tiempo por vivir;1983;7.502.426,0749
Ambos sexos;1 año;Tiempo por vivir;1982;7.523.274,388
Ambos sexos;1 año;Tiempo por vivir;1981;7.462.358,0911
Ambos sexos;1 año;Tiempo por vivir;1980;7.444.985,7493
Ambos sexos;1 año;Tiempo por vivir;1979;7.391.855,5358
Ambos sexos;1 año;Tiempo por vivir;1978;7.344.840,9697
Ambos sexos;1 año;Tiempo por vivir;1977;7.325.629,766
Ambos sexos;1 año;Tiempo por vivir;1976;7.277.064,0008
Ambos sexos;1 año;Tiempo por vivir;1975;7.245.394,0055
Ambos sexos;1 año;Esperanza de vida;1990;76,49585
Ambos sexos;1 año;Esperanza de vida;1989;76,502206
Ambos sexos;1 año;Esperanza de vida;1988;76,477457
Ambos sexos;1 año;Esperanza de vida;1987;76,522135
Ambos sexos;1 año;Esperanza de vida;1986;76,308477
Ambos sexos;1 año;Esperanza de vida;1985;76,013653
Ambos sexos;1 año;Esperanza de vida;1984;76,133761
Ambos sexos;1 año;Esperanza de vida;1983;75,823335
Ambos sexos;1 año;Esperanza de vida;1982;76,057438
Ambos sexos;1 año;Esperanza de vida;1981;75,508666
Ambos sexos;1 año;Esperanza de vida;1980;75,352933
Ambos sexos;1 año;Esperanza de vida;1979;74,961977
Ambos sexos;1 año;Esperanza de vida;1978;74,572977
Ambos sexos;1 año;Esperanza de vida;1977;74,433789
Ambos sexos;1 año;Esperanza de vida;1976;74,044874
Ambos sexos;1 año;Esperanza de vida;1975;73,823102
Ambos sexos;2 años;Tasa de mortalidad;1990;0,432743
Ambos sexos;2 años;Tasa de mortalidad;1989;0,448767
Ambos sexos;2 años;Tasa de mortalidad;1988;0,450078
Ambos sexos;2 años;Tasa de mortalidad;1987;0,42692
Ambos sexos;2 años;Tasa de mortalidad;1986;0,437258
Ambos sexos;2 años;Tasa de mortalidad;1985;0,493431
Ambos sexos;2 años;Tasa de mortalidad;1984;0,576349
Ambos sexos;2 años;Tasa de mortalidad;1983;0,561229
Ambos sexos;2 años;Tasa de mortalidad;1982;0,545579
Ambos sexos;2 años;Tasa de mortalidad;1981;0,683326
Ambos sexos;2 años;Tasa de mortalidad;1980;0,720111
Ambos sexos;2 años;Tasa de mortalidad;1979;0,712575
Ambos sexos;2 años;Tasa de mortalidad;1978;0,785535
Ambos sexos;2 años;Tasa de mortalidad;1977;0,761562
Ambos sexos;2 años;Tasa de mortalidad;1976;0,677203
Ambos sexos;2 años;Tasa de mortalidad;1975;0,74059
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1990;0,438387
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1989;0,49447
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1988;0,471596
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1987;0,464943
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1986;0,438303
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1985;0,467051
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1984;0,458121
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1983;0,454602
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1982;0,464904
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1981;0,502988
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1980;0,465729
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1979;0,432823
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1978;0,441254
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1977;0,457378
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1976;0,480081
Ambos sexos;2 años;Promedio de años vividos el último año de vida;1975;0,471199
Ambos sexos;2 años;Riesgo de muerte;1990;0,432638
Ambos sexos;2 años;Riesgo de muerte;1989;0,448666
Ambos sexos;2 años;Riesgo de muerte;1988;0,449971
Ambos sexos;2 años;Riesgo de muerte;1987;0,426822
Ambos sexos;2 años;Riesgo de muerte;1986;0,437151
Ambos sexos;2 años;Riesgo de muerte;1985;0,493301
Ambos sexos;2 años;Riesgo de muerte;1984;0,576169
Ambos sexos;2 años;Riesgo de muerte;1983;0,561057
Ambos sexos;2 años;Riesgo de muerte;1982;0,54542
Ambos sexos;2 años;Riesgo de muerte;1981;0,683094
Ambos sexos;2 años;Riesgo de muerte;1980;0,719834
Ambos sexos;2 años;Riesgo de muerte;1979;0,712287
Ambos sexos;2 años;Riesgo de muerte;1978;0,785191
Ambos sexos;2 años;Riesgo de muerte;1977;0,761247
Ambos sexos;2 años;Riesgo de muerte;1976;0,676965
Ambos sexos;2 años;Riesgo de muerte;1975;0,7403
Ambos sexos;2 años;Supervivientes;1990;99.164,34559
Ambos sexos;2 años;Supervivientes;1989;99.161,776326
Ambos sexos;2 años;Supervivientes;1988;99.128,48403
Ambos sexos;2 años;Supervivientes;1987;99.061,403618
Ambos sexos;2 años;Supervivientes;1986;99.020,71057
Ambos sexos;2 años;Supervivientes;1985;99.045,458988
Ambos sexos;2 años;Supervivientes;1984;98.947,683098
Ambos sexos;2 años;Supervivientes;1983;98.855,009468
Ambos sexos;2 años;Supervivientes;1982;98.829,683365
Ambos sexos;2 años;Supervivientes;1981;98.732,879673
Ambos sexos;2 años;Supervivientes;1980;98.697,685697
Ambos sexos;2 años;Supervivientes;1979;98.499,285877
Ambos sexos;2 años;Supervivientes;1978;98.370,132061
Ambos sexos;2 años;Supervivientes;1977;98.302,163681
Ambos sexos;2 años;Supervivientes;1976;98.163,63281
Ambos sexos;2 años;Supervivientes;1975;98.024,263118
Ambos sexos;2 años;Defunciones teóricas;1990;42,902291
Ambos sexos;2 años;Defunciones teóricas;1989;44,490485
Ambos sexos;2 años;Defunciones teóricas;1988;44,604988
Ambos sexos;2 años;Defunciones teóricas;1987;42,28163
Ambos sexos;2 años;Defunciones teóricas;1986;43,287
Ambos sexos;2 años;Defunciones teóricas;1985;48,859256
Ambos sexos;2 años;Defunciones teóricas;1984;57,01055
Ambos sexos;2 años;Defunciones teóricas;1983;55,463334
Ambos sexos;2 años;Defunciones teóricas;1982;53,903667
Ambos sexos;2 años;Defunciones teóricas;1981;67,443801
Ambos sexos;2 años;Defunciones teóricas;1980;71,045916
Ambos sexos;2 años;Defunciones teóricas;1979;70,159728
Ambos sexos;2 años;Defunciones teóricas;1978;77,239327
Ambos sexos;2 años;Defunciones teóricas;1977;74,83226
Ambos sexos;2 años;Defunciones teóricas;1976;66,453313
Ambos sexos;2 años;Defunciones teóricas;1975;72,567369
Ambos sexos;2 años;Población estacionaria;1990;99.140,251119
Ambos sexos;2 años;Población estacionaria;1989;99.139,285042
Ambos sexos;2 años;Población estacionaria;1988;99.104,914567
Ambos sexos;2 años;Población estacionaria;1987;99.038,780523
Ambos sexos;2 años;Población estacionaria;1986;98.996,396413
Ambos sexos;2 años;Población estacionaria;1985;99.019,419477
Ambos sexos;2 años;Población estacionaria;1984;98.916,790254
Ambos sexos;2 años;Población estacionaria;1983;98.824,759874
Ambos sexos;2 años;Población estacionaria;1982;98.800,839716
Ambos sexos;2 años;Población estacionaria;1981;98.699,359328
Ambos sexos;2 años;Población estacionaria;1980;98.659,727952
Ambos sexos;2 años;Población estacionaria;1979;98.459,492925
Ambos sexos;2 años;Población estacionaria;1978;98.326,974916
Ambos sexos;2 años;Población estacionaria;1977;98.261,558038
Ambos sexos;2 años;Población estacionaria;1976;98.129,082449
Ambos sexos;2 años;Población estacionaria;1975;97.985,889434
Ambos sexos;2 años;Tiempo por vivir;1990;7.492.014,4529
Ambos sexos;2 años;Tiempo por vivir;1989;7.491.761,9205
Ambos sexos;2 años;Tiempo por vivir;1988;7.487.463,9428
Ambos sexos;2 años;Tiempo por vivir;1987;7.486.166,3091
Ambos sexos;2 años;Tiempo por vivir;1986;7.463.069,7023
Ambos sexos;2 años;Tiempo por vivir;1985;7.435.701,5554
Ambos sexos;2 años;Tiempo por vivir;1984;7.440.442,2298
Ambos sexos;2 años;Tiempo por vivir;1983;7.403.529,3321
Ambos sexos;2 años;Tiempo por vivir;1982;7.424.403,7931
Ambos sexos;2 años;Tiempo por vivir;1981;7.363.581,9085
Ambos sexos;2 años;Tiempo por vivir;1980;7.346.243,9742
Ambos sexos;2 años;Tiempo por vivir;1979;7.293.306,3019
Ambos sexos;2 años;Tiempo por vivir;1978;7.246.416,5826
Ambos sexos;2 años;Tiempo por vivir;1977;7.227.276,4192
Ambos sexos;2 años;Tiempo por vivir;1976;7.178.851,9017
Ambos sexos;2 años;Tiempo por vivir;1975;7.147.317,0618
Ambos sexos;2 años;Esperanza de vida;1990;75,551494
Ambos sexos;2 años;Esperanza de vida;1989;75,550905
Ambos sexos;2 años;Esperanza de vida;1988;75,532921
Ambos sexos;2 años;Esperanza de vida;1987;75,570969
Ambos sexos;2 años;Esperanza de vida;1986;75,368775
Ambos sexos;2 años;Esperanza de vida;1985;75,073624
Ambos sexos;2 años;Esperanza de vida;1984;75,19572
Ambos sexos;2 años;Esperanza de vida;1983;74,892809
Ambos sexos;2 años;Esperanza de vida;1982;75,123217
Ambos sexos;2 años;Esperanza de vida;1981;74,580848
Ambos sexos;2 años;Esperanza de vida;1980;74,431775
Ambos sexos;2 años;Esperanza de vida;1979;74,044256
Ambos sexos;2 años;Esperanza de vida;1978;73,664805
Ambos sexos;2 años;Esperanza de vida;1977;73,521031
Ambos sexos;2 años;Esperanza de vida;1976;73,131482
Ambos sexos;2 años;Esperanza de vida;1975;72,913755
Ambos sexos;3 años;Tasa de mortalidad;1990;0,336777
Ambos sexos;3 años;Tasa de mortalidad;1989;0,364799
Ambos sexos;3 años;Tasa de mortalidad;1988;0,320424
Ambos sexos;3 años;Tasa de mortalidad;1987;0,331751
Ambos sexos;3 años;Tasa de mortalidad;1986;0,33793
Ambos sexos;3 años;Tasa de mortalidad;1985;0,40271
Ambos sexos;3 años;Tasa de mortalidad;1984;0,375285
Ambos sexos;3 años;Tasa de mortalidad;1983;0,438413
Ambos sexos;3 años;Tasa de mortalidad;1982;0,396746
Ambos sexos;3 años;Tasa de mortalidad;1981;0,490271
Ambos sexos;3 años;Tasa de mortalidad;1980;0,4707
Ambos sexos;3 años;Tasa de mortalidad;1979;0,600987
Ambos sexos;3 años;Tasa de mortalidad;1978;0,558072
Ambos sexos;3 años;Tasa de mortalidad;1977;0,591215
Ambos sexos;3 años;Tasa de mortalidad;1976;0,512845
Ambos sexos;3 años;Tasa de mortalidad;1975;0,603714
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1990;0,479083
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1989;0,484449
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1988;0,517453
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1987;0,477458
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1986;0,450473
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1985;0,469767
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1984;0,442152
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1983;0,452616
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1982;0,464258
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1981;0,462053
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1980;0,453364
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1979;0,483165
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1978;0,469907
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1977;0,452508
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1976;0,492668
Ambos sexos;3 años;Promedio de años vividos el último año de vida;1975;0,490549
Ambos sexos;3 años;Riesgo de muerte;1990;0,336717
Ambos sexos;3 años;Riesgo de muerte;1989;0,36473
Ambos sexos;3 años;Riesgo de muerte;1988;0,320374
Ambos sexos;3 años;Riesgo de muerte;1987;0,331693
Ambos sexos;3 años;Riesgo de muerte;1986;0,337867
Ambos sexos;3 años;Riesgo de muerte;1985;0,402624
Ambos sexos;3 años;Riesgo de muerte;1984;0,375207
Ambos sexos;3 años;Riesgo de muerte;1983;0,438308
Ambos sexos;3 años;Riesgo de muerte;1982;0,396662
Ambos sexos;3 años;Riesgo de muerte;1981;0,490142
Ambos sexos;3 años;Riesgo de muerte;1980;0,470579
Ambos sexos;3 años;Riesgo de muerte;1979;0,6008
Ambos sexos;3 años;Riesgo de muerte;1978;0,557907
Ambos sexos;3 años;Riesgo de muerte;1977;0,591023
Ambos sexos;3 años;Riesgo de muerte;1976;0,512712
Ambos sexos;3 años;Riesgo de muerte;1975;0,603528
Ambos sexos;3 años;Supervivientes;1990;99.121,443299
Ambos sexos;3 años;Supervivientes;1989;99.117,28584
Ambos sexos;3 años;Supervivientes;1988;99.083,879042
Ambos sexos;3 años;Supervivientes;1987;99.019,121988
Ambos sexos;3 años;Supervivientes;1986;98.977,42357
Ambos sexos;3 años;Supervivientes;1985;98.996,599732
Ambos sexos;3 años;Supervivientes;1984;98.890,672548
Ambos sexos;3 años;Supervivientes;1983;98.799,546134
Ambos sexos;3 años;Supervivientes;1982;98.775,779698
Ambos sexos;3 años;Supervivientes;1981;98.665,435872
Ambos sexos;3 años;Supervivientes;1980;98.626,639781
Ambos sexos;3 años;Supervivientes;1979;98.429,126149
Ambos sexos;3 años;Supervivientes;1978;98.292,892734
Ambos sexos;3 años;Supervivientes;1977;98.227,331421
Ambos sexos;3 años;Supervivientes;1976;98.097,179497
Ambos sexos;3 años;Supervivientes;1975;97.951,695749
