Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1990;80,405819
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1989;80,358981
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1988;80,146836
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1987;80,070813
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1986;79,751197
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1985;79,539571
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1984;79,514032
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1983;78,998002
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1982;79,186184
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1981;78,626851
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1980;78,414679
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1979;77,907891
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1978;77,368276
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1977;77,116641
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1976;76,611769
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1975;76,248591
